2019-04-03 18:48:59,753 DEBUG | MAIN Processing instances_train2017.json
2019-04-03 18:49:40,047 DEBUG | 60  7179
2019-04-03 18:49:40,050 DEBUG | 61  6353
2019-04-03 18:49:40,053 DEBUG | 62  38491
2019-04-03 18:49:40,055 DEBUG | 63  5779
2019-04-03 18:49:40,059 DEBUG | 64  8652
2019-04-03 18:49:40,062 DEBUG | 65  4192
2019-04-03 18:49:40,065 DEBUG | 67  15714
2019-04-03 18:49:40,068 DEBUG | 70  4157
2019-04-03 18:49:40,071 DEBUG | 72  5805
2019-04-03 18:49:40,074 DEBUG | 73  4970
2019-04-03 18:49:40,077 DEBUG | 74  2262
2019-04-03 18:49:40,081 DEBUG | 75  5703
2019-04-03 18:49:40,083 DEBUG | 76  2855
2019-04-03 18:49:40,087 DEBUG | 77  6434
2019-04-03 18:49:40,106 DEBUG | 78  1673
2019-04-03 18:49:40,109 DEBUG | 79  3334
2019-04-03 18:49:40,112 DEBUG | 80  225
2019-04-03 18:49:40,116 DEBUG | 81  5610
2019-04-03 18:49:40,122 DEBUG | 82  2637
2019-04-03 18:49:40,129 DEBUG | 84  24715
2019-04-03 18:49:40,132 DEBUG | 85  6334
2019-04-03 18:49:40,136 DEBUG | 86  6613
2019-04-03 18:49:40,140 DEBUG | 87  1481
2019-04-03 18:49:40,144 DEBUG | 88  4793
2019-04-03 18:49:40,163 DEBUG | 89  198
2019-04-03 18:49:40,167 DEBUG | 90  1954
2019-04-03 18:49:40,438 DEBUG | TRIM Categorized Master
2019-04-03 18:49:40,523 DEBUG | 1  10499
2019-04-03 18:49:40,527 DEBUG | 2  285
2019-04-03 18:49:40,531 DEBUG | 3  1755
2019-04-03 18:49:40,534 DEBUG | 4  349
2019-04-03 18:49:40,537 DEBUG | 5  206
2019-04-03 18:49:40,541 DEBUG | 6  243
2019-04-03 18:49:40,545 DEBUG | 7  183
2019-04-03 18:49:40,549 DEBUG | 8  399
2019-04-03 18:49:40,553 DEBUG | 9  431
2019-04-03 18:49:40,557 DEBUG | 10  516
2019-04-03 18:49:40,561 DEBUG | 11  75
2019-04-03 18:49:40,564 DEBUG | 13  80
2019-04-03 18:49:40,575 DEBUG | 14  52
2019-04-03 18:49:40,578 DEBUG | 15  394
2019-04-03 18:49:40,584 DEBUG | 16  433
2019-04-03 18:49:40,587 DEBUG | 17  191
2019-04-03 18:49:40,591 DEBUG | 18  221
2019-04-03 18:49:40,594 DEBUG | 19  264
2019-04-03 18:49:40,620 DEBUG | 20  381
2019-04-03 18:49:40,624 DEBUG | 21  326
2019-04-03 18:49:40,628 DEBUG | 22  221
2019-04-03 18:49:40,631 DEBUG | 23  52
2019-04-03 18:49:40,634 DEBUG | 24  213
2019-04-03 18:49:40,641 DEBUG | 25  206
2019-04-03 18:49:40,644 DEBUG | 27  349
2019-04-03 18:49:40,648 DEBUG | 28  458
2019-04-03 18:49:40,652 DEBUG | 31  495
2019-04-03 18:49:40,655 DEBUG | 32  260
2019-04-03 18:49:40,659 DEBUG | 33  248
2019-04-03 18:49:40,663 DEBUG | 34  108
2019-04-03 18:49:40,667 DEBUG | 35  266
2019-04-03 18:49:40,671 DEBUG | 36  108
2019-04-03 18:49:40,675 DEBUG | 37  254
2019-04-03 18:49:40,678 DEBUG | 38  364
2019-04-03 18:49:40,682 DEBUG | 39  132
2019-04-03 18:49:40,686 DEBUG | 40  150
2019-04-03 18:49:40,689 DEBUG | 41  222
2019-04-03 18:49:40,692 DEBUG | 42  246
2019-04-03 18:49:40,696 DEBUG | 43  193
2019-04-03 18:49:40,701 DEBUG | 44  974
2019-04-03 18:49:40,705 DEBUG | 46  317
2019-04-03 18:49:40,708 DEBUG | 47  826
2019-04-03 18:49:40,712 DEBUG | 48  220
2019-04-03 18:49:40,715 DEBUG | 49  311
2019-04-03 18:49:40,719 DEBUG | 50  247
2019-04-03 18:49:40,723 DEBUG | 51  575
2019-04-03 18:49:40,788 DEBUG | 52  379
2019-04-03 18:49:40,792 DEBUG | 53  235
2019-04-03 18:49:40,796 DEBUG | 54  175
2019-04-03 18:49:40,800 DEBUG | 55  256
2019-04-03 18:49:40,804 DEBUG | 56  293
2019-04-03 18:49:40,808 DEBUG | 57  315
2019-04-03 18:49:40,812 DEBUG | 58  117
2019-04-03 18:49:40,816 DEBUG | 59  233
2019-04-03 18:49:40,820 DEBUG | 60  288
2019-04-03 18:49:40,823 DEBUG | 61  255
2019-04-03 18:49:40,827 DEBUG | 62  1540
2019-04-03 18:49:40,830 DEBUG | 63  232
2019-04-03 18:49:40,833 DEBUG | 64  347
2019-04-03 18:49:40,837 DEBUG | 65  168
2019-04-03 18:49:40,840 DEBUG | 67  629
2019-04-03 18:49:40,843 DEBUG | 70  167
2019-04-03 18:49:40,849 DEBUG | 72  233
2019-04-03 18:49:40,852 DEBUG | 73  199
2019-04-03 18:49:40,856 DEBUG | 74  91
2019-04-03 18:49:40,859 DEBUG | 75  229
2019-04-03 18:49:40,867 DEBUG | 76  115
2019-04-03 18:49:40,871 DEBUG | 77  258
2019-04-03 18:49:40,874 DEBUG | 78  67
2019-04-03 18:49:40,879 DEBUG | 79  134
2019-04-03 18:49:40,883 DEBUG | 80  9
2019-04-03 18:49:40,907 DEBUG | 81  225
2019-04-03 18:49:40,911 DEBUG | 82  106
2019-04-03 18:49:40,914 DEBUG | 84  989
2019-04-03 18:49:40,936 DEBUG | 85  254
2019-04-03 18:49:40,941 DEBUG | 86  265
2019-04-03 18:49:40,945 DEBUG | 87  60
2019-04-03 18:49:40,949 DEBUG | 88  192
2019-04-03 18:49:40,953 DEBUG | 89  8
2019-04-03 18:49:40,957 DEBUG | 90  79
2019-04-03 18:49:40,960 DEBUG | TRIM Categorized Master Length 34440
2019-04-03 18:49:40,990 DEBUG | TRIM Aggregated Master Length 34440
2019-04-03 18:49:41,026 DEBUG | Image References: 27108
2019-04-03 18:49:52,993 DEBUG | MAIN Processing instances_val2017.json
2019-04-03 18:49:55,729 DEBUG | Category Master
2019-04-03 18:49:55,792 DEBUG | 1  11004
2019-04-03 18:49:55,796 DEBUG | 2  316
2019-04-03 18:49:55,800 DEBUG | 3  1932
2019-04-03 18:49:55,804 DEBUG | 4  371
2019-04-03 18:49:55,814 DEBUG | 5  143
2019-04-03 18:49:55,836 DEBUG | 6  285
2019-04-03 18:49:55,840 DEBUG | 7  190
2019-04-03 18:49:55,844 DEBUG | 8  415
2019-04-03 18:49:55,850 DEBUG | 9  430
2019-04-03 18:49:55,854 DEBUG | 10  637
2019-04-03 18:49:55,858 DEBUG | 11  101
2019-04-03 18:49:55,862 DEBUG | 13  75
2019-04-03 18:49:55,866 DEBUG | 14  60
2019-04-03 18:49:55,870 DEBUG | 15  413
2019-04-03 18:49:55,874 DEBUG | 16  440
2019-04-03 18:49:55,879 DEBUG | 17  202
2019-04-03 18:49:55,883 DEBUG | 18  218
2019-04-03 18:49:55,886 DEBUG | 19  273
2019-04-03 18:49:55,890 DEBUG | 20  361
2019-04-03 18:49:55,894 DEBUG | 21  380
2019-04-03 18:49:55,898 DEBUG | 22  255
2019-04-03 18:49:55,902 DEBUG | 23  71
2019-04-03 18:49:55,907 DEBUG | 24  268
2019-04-03 18:49:55,911 DEBUG | 25  232
2019-04-03 18:49:55,916 DEBUG | 27  371
2019-04-03 18:49:55,920 DEBUG | 28  413
2019-04-03 18:49:55,925 DEBUG | 31  540
2019-04-03 18:49:55,929 DEBUG | 32  254
2019-04-03 18:49:55,933 DEBUG | 33  303
2019-04-03 18:49:55,937 DEBUG | 34  115
2019-04-03 18:49:55,941 DEBUG | 35  241
2019-04-03 18:49:55,945 DEBUG | 36  69
2019-04-03 18:49:55,950 DEBUG | 37  263
2019-04-03 18:49:55,971 DEBUG | 38  336
2019-04-03 18:49:55,975 DEBUG | 39  146
2019-04-03 18:49:55,979 DEBUG | 40  148
2019-04-03 18:49:55,983 DEBUG | 41  179
2019-04-03 18:49:55,987 DEBUG | 42  269
2019-04-03 18:49:55,992 DEBUG | 43  225
2019-04-03 18:49:55,996 DEBUG | 44  1025
2019-04-03 18:49:56,000 DEBUG | 46  343
2019-04-03 18:49:56,004 DEBUG | 47  899
2019-04-03 18:49:56,009 DEBUG | 48  215
2019-04-03 18:49:56,038 DEBUG | 49  326
2019-04-03 18:49:56,043 DEBUG | 50  253
2019-04-03 18:49:56,047 DEBUG | 51  626
2019-04-03 18:49:56,075 DEBUG | 52  379
2019-04-03 18:49:56,081 DEBUG | 53  239
2019-04-03 18:49:56,085 DEBUG | 54  177
2019-04-03 18:49:56,089 DEBUG | 55  287
2019-04-03 18:49:56,092 DEBUG | 56  316
2019-04-03 18:49:56,097 DEBUG | 57  371
2019-04-03 18:49:56,101 DEBUG | 58  127
2019-04-03 18:49:56,105 DEBUG | 59  285
2019-04-03 18:49:56,131 DEBUG | 60  338
2019-04-03 18:49:56,137 DEBUG | 61  316
2019-04-03 18:49:56,156 DEBUG | 62  1791
2019-04-03 18:49:56,167 DEBUG | 63  261
2019-04-03 18:49:56,172 DEBUG | 64  343
2019-04-03 18:49:56,176 DEBUG | 65  163
2019-04-03 18:49:56,180 DEBUG | 67  697
2019-04-03 18:49:56,185 DEBUG | 70  179
2019-04-03 18:49:56,190 DEBUG | 72  288
2019-04-03 18:49:56,197 DEBUG | 73  231
2019-04-03 18:49:56,201 DEBUG | 74  106
2019-04-03 18:49:56,206 DEBUG | 75  283
2019-04-03 18:49:56,210 DEBUG | 76  153
2019-04-03 18:49:56,214 DEBUG | 77  262
2019-04-03 18:49:56,219 DEBUG | 78  55
2019-04-03 18:49:56,223 DEBUG | 79  143
2019-04-03 18:49:56,227 DEBUG | 80  9
2019-04-03 18:49:56,231 DEBUG | 81  225
2019-04-03 18:49:56,236 DEBUG | 82  126
2019-04-03 18:49:56,241 DEBUG | 84  1161
2019-04-03 18:49:56,245 DEBUG | 85  267
2019-04-03 18:49:56,263 DEBUG | 86  277
2019-04-03 18:49:56,267 DEBUG | 87  36
2019-04-03 18:49:56,271 DEBUG | 88  191
2019-04-03 18:49:56,279 DEBUG | 89  11
2019-04-03 18:49:56,283 DEBUG | 90  57
2019-04-03 18:49:56,312 DEBUG | TRIM Categorized Master
2019-04-03 18:49:56,319 DEBUG | 1  441
2019-04-03 18:49:56,323 DEBUG | 2  13
2019-04-03 18:49:56,328 DEBUG | 3  78
2019-04-03 18:49:56,332 DEBUG | 4  15
2019-04-03 18:49:56,336 DEBUG | 5  6
2019-04-03 18:49:56,341 DEBUG | 6  12
2019-04-03 18:49:56,345 DEBUG | 7  8
2019-04-03 18:49:56,349 DEBUG | 8  17
2019-04-03 18:49:56,353 DEBUG | 9  18
2019-04-03 18:49:56,357 DEBUG | 10  26
2019-04-03 18:49:56,362 DEBUG | 11  5
2019-04-03 18:49:56,366 DEBUG | 13  3
2019-04-03 18:49:56,369 DEBUG | 14  3
2019-04-03 18:49:56,375 DEBUG | 15  17
2019-04-03 18:49:56,379 DEBUG | 16  18
2019-04-03 18:49:56,383 DEBUG | 17  9
2019-04-03 18:49:56,387 DEBUG | 18  9
2019-04-03 18:49:56,392 DEBUG | 19  11
2019-04-03 18:49:56,397 DEBUG | 20  15
2019-04-03 18:49:56,427 DEBUG | 21  16
2019-04-03 18:49:56,433 DEBUG | 22  11
2019-04-03 18:49:56,436 DEBUG | 23  3
2019-04-03 18:49:56,441 DEBUG | 24  11
2019-04-03 18:49:56,445 DEBUG | 25  10
2019-04-03 18:49:56,450 DEBUG | 27  15
2019-04-03 18:49:56,454 DEBUG | 28  17
2019-04-03 18:49:56,459 DEBUG | 31  22
2019-04-03 18:49:56,463 DEBUG | 32  11
2019-04-03 18:49:56,468 DEBUG | 33  13
2019-04-03 18:49:56,472 DEBUG | 34  5
2019-04-03 18:49:56,476 DEBUG | 35  10
2019-04-03 18:49:56,480 DEBUG | 36  3
2019-04-03 18:49:56,484 DEBUG | 37  11
2019-04-03 18:49:56,491 DEBUG | 38  14
2019-04-03 18:49:56,495 DEBUG | 39  6
2019-04-03 18:49:56,499 DEBUG | 40  6
2019-04-03 18:49:56,504 DEBUG | 41  8
2019-04-03 18:49:56,508 DEBUG | 42  11
2019-04-03 18:49:56,513 DEBUG | 43  9
2019-04-03 18:49:56,518 DEBUG | 44  41
2019-04-03 18:49:56,523 DEBUG | 46  14
2019-04-03 18:49:56,527 DEBUG | 47  36
2019-04-03 18:49:56,531 DEBUG | 48  9
2019-04-03 18:49:56,535 DEBUG | 49  14
2019-04-03 18:49:56,540 DEBUG | 50  11
2019-04-03 18:49:56,570 DEBUG | 51  26
2019-04-03 18:49:56,574 DEBUG | 52  16
2019-04-03 18:49:56,579 DEBUG | 53  10
2019-04-03 18:49:56,583 DEBUG | 54  8
2019-04-03 18:49:56,587 DEBUG | 55  12
2019-04-03 18:49:56,592 DEBUG | 56  13
2019-04-03 18:49:56,596 DEBUG | 57  15
2019-04-03 18:49:56,600 DEBUG | 58  6
2019-04-03 18:49:56,607 DEBUG | 59  12
2019-04-03 18:49:56,611 DEBUG | 60  14
2019-04-03 18:49:56,615 DEBUG | 61  13
2019-04-03 18:49:56,622 DEBUG | 62  72
2019-04-03 18:49:56,627 DEBUG | 63  11
2019-04-03 18:49:56,632 DEBUG | 64  14
2019-04-03 18:49:56,637 DEBUG | 65  7
2019-04-03 18:49:56,642 DEBUG | 67  28
2019-04-03 18:49:56,646 DEBUG | 70  8
2019-04-03 18:49:56,651 DEBUG | 72  12
2019-04-03 18:49:56,655 DEBUG | 73  10
2019-04-03 18:49:56,660 DEBUG | 74  5
2019-04-03 18:49:56,667 DEBUG | 75  12
2019-04-03 18:49:56,672 DEBUG | 76  7
2019-04-03 18:49:56,677 DEBUG | 77  11
2019-04-03 18:49:56,681 DEBUG | 78  3
2019-04-03 18:49:56,686 DEBUG | 79  6
2019-04-03 18:49:56,691 DEBUG | 80  1
2019-04-03 18:49:56,696 DEBUG | 81  9
2019-04-03 18:49:56,700 DEBUG | 82  6
2019-04-03 18:49:56,712 DEBUG | 84  47
2019-04-03 18:49:56,716 DEBUG | 85  11
2019-04-03 18:49:56,723 DEBUG | 86  12
2019-04-03 18:49:56,728 DEBUG | 87  2
2019-04-03 18:49:56,732 DEBUG | 88  8
2019-04-03 18:49:56,748 DEBUG | 89  1
2019-04-03 18:49:56,753 DEBUG | 90  3
2019-04-03 18:49:56,758 DEBUG | TRIM Categorized Master Length 1512
2019-04-03 18:49:56,763 DEBUG | TRIM Aggregated Master Length 1512
2019-04-03 18:49:57,328 DEBUG | Image References: 1212
2019-04-03 18:58:07,200 DEBUG | Category Master
2019-04-03 18:58:07,203 DEBUG | 1  262465
2019-04-03 18:58:07,294 DEBUG | 2  7113
2019-04-03 18:58:07,300 DEBUG | 3  43867
2019-04-03 18:58:07,305 DEBUG | 4  8725
2019-04-03 18:58:07,310 DEBUG | 5  5135
2019-04-03 18:58:07,315 DEBUG | 6  6069
2019-04-03 18:58:07,320 DEBUG | 7  4571
2019-04-03 18:58:07,325 DEBUG | 8  9973
2019-04-03 18:58:07,338 DEBUG | 9  10759
2019-04-03 18:58:07,342 DEBUG | 10  12884
2019-04-03 18:58:07,347 DEBUG | 11  1865
2019-04-03 18:58:07,352 DEBUG | 13  1983
2019-04-03 18:58:07,359 DEBUG | 14  1285
2019-04-03 18:58:07,364 DEBUG | 15  9838
2019-04-03 18:58:07,370 DEBUG | 16  10806
2019-04-03 18:58:07,375 DEBUG | 17  4768
2019-04-03 18:58:07,379 DEBUG | 18  5508
2019-04-03 18:58:07,385 DEBUG | 19  6587
2019-04-03 18:58:07,390 DEBUG | 20  9509
2019-04-03 18:58:07,413 DEBUG | 21  8147
2019-04-03 18:58:07,420 DEBUG | 22  5513
2019-04-03 18:58:07,424 DEBUG | 23  1294
2019-04-03 18:58:07,429 DEBUG | 24  5303
2019-04-03 18:58:07,434 DEBUG | 25  5131
2019-04-03 18:58:07,484 DEBUG | 27  8720
2019-04-03 18:58:07,489 DEBUG | 28  11431
2019-04-03 18:58:07,494 DEBUG | 31  12354
2019-04-03 18:58:07,498 DEBUG | 32  6496
2019-04-03 18:58:07,503 DEBUG | 33  6192
2019-04-03 18:58:07,535 DEBUG | 34  2682
2019-04-03 18:58:07,540 DEBUG | 35  6646
2019-04-03 18:58:07,544 DEBUG | 36  2685
2019-04-03 18:58:07,549 DEBUG | 37  6347
2019-04-03 18:58:07,554 DEBUG | 38  9076
2019-04-03 18:58:07,558 DEBUG | 39  3276
2019-04-03 18:58:07,574 DEBUG | 40  3747
2019-04-03 18:58:07,579 DEBUG | 41  5543
2019-04-03 18:58:07,583 DEBUG | 42  6126
2019-04-03 18:58:07,589 DEBUG | 43  4812
2019-04-03 18:58:07,615 DEBUG | 44  24342
2019-04-03 18:58:07,620 DEBUG | 46  7913
2019-04-03 18:58:07,624 DEBUG | 47  20650
2019-04-03 18:58:07,629 DEBUG | 48  5479
2019-04-03 18:58:07,636 DEBUG | 49  7770
2019-04-03 18:58:07,641 DEBUG | 50  6165
2019-04-03 18:58:07,645 DEBUG | 51  14358
2019-04-03 18:58:07,650 DEBUG | 52  9458
2019-04-03 18:58:07,656 DEBUG | 53  5851
2019-04-03 18:58:07,661 DEBUG | 54  4373
2019-04-03 18:58:07,666 DEBUG | 55  6399
2019-04-03 18:58:07,671 DEBUG | 56  7308
2019-04-03 18:58:07,676 DEBUG | 57  7852
2019-04-03 18:58:07,681 DEBUG | 58  2918
2019-04-03 18:58:07,686 DEBUG | 59  5821
2019-04-03 18:58:07,735 DEBUG | 60  7179
2019-04-03 18:58:07,740 DEBUG | 61  6353
2019-04-03 18:58:07,745 DEBUG | 62  38491
2019-04-03 18:58:07,750 DEBUG | 63  5779
2019-04-03 18:58:07,755 DEBUG | 64  8652
2019-04-03 18:58:07,763 DEBUG | 65  4192
2019-04-03 18:58:07,772 DEBUG | 67  15714
2019-04-03 18:58:07,777 DEBUG | 70  4157
2019-04-03 18:58:07,782 DEBUG | 72  5805
2019-04-03 18:58:07,788 DEBUG | 73  4970
2019-04-03 18:58:07,793 DEBUG | 74  2262
2019-04-03 18:58:07,798 DEBUG | 75  5703
2019-04-03 18:58:07,802 DEBUG | 76  2855
2019-04-03 18:58:07,807 DEBUG | 77  6434
2019-04-03 18:58:07,812 DEBUG | 78  1673
2019-04-03 18:58:07,817 DEBUG | 79  3334
2019-04-03 18:58:07,825 DEBUG | 80  225
2019-04-03 18:58:07,876 DEBUG | 81  5610
2019-04-03 18:58:07,881 DEBUG | 82  2637
2019-04-03 18:58:07,888 DEBUG | 84  24715
2019-04-03 18:58:07,893 DEBUG | 85  6334
2019-04-03 18:58:07,898 DEBUG | 86  6613
2019-04-03 18:58:07,904 DEBUG | 87  1481
2019-04-03 18:58:07,910 DEBUG | 88  4793
2019-04-03 18:58:07,915 DEBUG | 89  198
2019-04-03 18:58:07,938 DEBUG | 90  1954
2019-04-03 18:58:08,221 DEBUG | TRIM Categorized Master
2019-04-03 18:58:08,295 DEBUG | 1  10499
2019-04-03 18:58:08,300 DEBUG | 2  285
2019-04-03 18:58:08,306 DEBUG | 3  1755
2019-04-03 18:58:08,339 DEBUG | 4  349
2019-04-03 18:58:08,344 DEBUG | 5  206
2019-04-03 18:58:08,350 DEBUG | 6  243
2019-04-03 18:58:08,356 DEBUG | 7  183
2019-04-03 18:58:08,361 DEBUG | 8  399
2019-04-03 18:58:08,367 DEBUG | 9  431
2019-04-03 18:58:08,372 DEBUG | 10  516
2019-04-03 18:58:08,377 DEBUG | 11  75
2019-04-03 18:58:08,382 DEBUG | 13  80
2019-04-03 18:58:08,388 DEBUG | 14  52
2019-04-03 18:58:08,393 DEBUG | 15  394
2019-04-03 18:58:08,398 DEBUG | 16  433
2019-04-03 18:58:08,404 DEBUG | 17  191
2019-04-03 18:58:08,425 DEBUG | 18  221
2019-04-03 18:58:08,430 DEBUG | 19  264
2019-04-03 18:58:08,436 DEBUG | 20  381
2019-04-03 18:58:08,441 DEBUG | 21  326
2019-04-03 18:58:08,446 DEBUG | 22  221
2019-04-03 18:58:08,452 DEBUG | 23  52
2019-04-03 18:58:08,458 DEBUG | 24  213
2019-04-03 18:58:08,462 DEBUG | 25  206
2019-04-03 18:58:08,468 DEBUG | 27  349
2019-04-03 18:58:08,475 DEBUG | 28  458
2019-04-03 18:58:08,480 DEBUG | 31  495
2019-04-03 18:58:08,485 DEBUG | 32  260
2019-04-03 18:58:08,490 DEBUG | 33  248
2019-04-03 18:58:08,495 DEBUG | 34  108
2019-04-03 18:58:08,523 DEBUG | 35  266
2019-04-03 18:58:08,527 DEBUG | 36  108
2019-04-03 18:58:08,534 DEBUG | 37  254
2019-04-03 18:58:08,539 DEBUG | 38  364
2019-04-03 18:58:08,544 DEBUG | 39  132
2019-04-03 18:58:08,550 DEBUG | 40  150
2019-04-03 18:58:08,556 DEBUG | 41  222
2019-04-03 18:58:08,575 DEBUG | 42  246
2019-04-03 18:58:08,581 DEBUG | 43  193
2019-04-03 18:58:08,585 DEBUG | 44  974
2019-04-03 18:58:08,592 DEBUG | 46  317
2019-04-03 18:58:08,598 DEBUG | 47  826
2019-04-03 18:58:08,619 DEBUG | 48  220
2019-04-03 18:58:08,624 DEBUG | 49  311
2019-04-03 18:58:08,631 DEBUG | 50  247
2019-04-03 18:58:08,636 DEBUG | 51  575
2019-04-03 18:58:08,641 DEBUG | 52  379
2019-04-03 18:58:08,650 DEBUG | 53  235
2019-04-03 18:58:08,655 DEBUG | 54  175
2019-04-03 18:58:08,660 DEBUG | 55  256
2019-04-03 18:58:08,666 DEBUG | 56  293
2019-04-03 18:58:08,672 DEBUG | 57  315
2019-04-03 18:58:08,677 DEBUG | 58  117
2019-04-03 18:58:08,683 DEBUG | 59  233
2019-04-03 18:58:08,688 DEBUG | 60  288
2019-04-03 18:58:08,693 DEBUG | 61  255
2019-04-03 18:58:08,698 DEBUG | 62  1540
2019-04-03 18:58:08,707 DEBUG | 63  232
2019-04-03 18:58:08,713 DEBUG | 64  347
2019-04-03 18:58:08,719 DEBUG | 65  168
2019-04-03 18:58:08,724 DEBUG | 67  629
2019-04-03 18:58:08,730 DEBUG | 70  167
2019-04-03 18:58:08,752 DEBUG | 72  233
2019-04-03 18:58:08,757 DEBUG | 73  199
2019-04-03 18:58:08,765 DEBUG | 74  91
2019-04-03 18:58:08,771 DEBUG | 75  229
2019-04-03 18:58:08,776 DEBUG | 76  115
2019-04-03 18:58:08,782 DEBUG | 77  258
2019-04-03 18:58:08,787 DEBUG | 78  67
2019-04-03 18:58:08,793 DEBUG | 79  134
2019-04-03 18:58:08,799 DEBUG | 80  9
2019-04-03 18:58:08,804 DEBUG | 81  225
2019-04-03 18:58:08,809 DEBUG | 82  106
2019-04-03 18:58:08,815 DEBUG | 84  989
2019-04-03 18:58:08,822 DEBUG | 85  254
2019-04-03 18:58:08,840 DEBUG | 86  265
2019-04-03 18:58:08,846 DEBUG | 87  60
2019-04-03 18:58:08,852 DEBUG | 88  192
2019-04-03 18:58:08,858 DEBUG | 89  8
2019-04-03 18:58:08,863 DEBUG | 90  79
2019-04-03 18:58:08,869 DEBUG | TRIM Categorized Master Length 34440
2019-04-03 18:58:08,874 DEBUG | TRIM Aggregated Master Length 34440
